title,category,date_text,date_start,date_end,comune,region,region_slug,area,area_slug,url,description,indirizzo,prezzo,lat,lon
SagrafavoriteArrostiland,,6 aprile 2026,2026-04-06,2026-04-06,Mosciano Sant'Angelo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/arrostiland,,,,,
SagrafavoriteDivinamente Abruzzo,,11 aprile - 20 aprile 2026,2026-04-11,2026-04-20,Montesilvano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/divinamente-abruzzo,,,,,
FierafavoriteFiera dell’Agricoltura Lanciano,,17 aprile - 19 aprile 2026,2026-04-17,2026-04-19,Lanciano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/fiera-dell-agricoltura-lanciano,,,,,
SagrafavoriteFestival del carciofo,,24 aprile - 3 maggio 2026,2026-04-24,2026-05-03,Cupello,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festival-del-carciofo,,,,,
SagrafavoriteVinorum Festival del Vino d&rsquo;Abruzzo,,15 maggio - 17 maggio 2026,2026-05-15,2026-05-17,Pescara,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/vinorum-festival-del-vino-d-abruzzo-2,,,,,
SagrafavoriteFrancavilla Fiori e Fragole,,16 maggio - 17 maggio 2026,2026-05-16,2026-05-17,Francavilla al Mare,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/francavilla-fiori-e-fragole,,,,,
SagrafavoriteAssaggia Tortona,,22 maggio - 24 maggio 2026,2026-05-22,2026-05-24,Tortona,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/assaggia-tortona,,,,,
SagrafavoriteBorgo diVino in Tour Città Sant&rsquo;Angelo,,12 giugno - 14 giugno 2026,2026-06-12,2026-06-14,Città Sant'Angelo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/borgo-divino-in-tour-citta-sant-angelo,,,,,
SagrafavoriteUn Castello di Birra,,17 giugno - 21 giugno 2026,2026-06-17,2026-06-21,Sant'Omero,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/un-castello-di-birra,,,,,
SagrafavoriteSagra della Pizza Scima,,25 giugno - 27 giugno 2026,2026-06-25,2026-06-27,Casoli,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-della-pizza-scima,,,,,
